phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Huawei nova 4e,Huawei,Android 9.0,"6.15""",1080x2312 pixels,3340,Li-Po,4-6GB RAM,"2019, March",159 g (5.61 oz),1080p@30fps (gyro-EIS),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 200 EUR
Huawei Y5 (2019),Huawei,Android 9.0,"5.71""",720x1520 pixels,3020,Li-Ion,2GB RAM,"2019, April 24",146 g (5.15 oz),1080p@30fps,"16GB 2GB RAM, 32GB 2GB RAM",About 280 EUR
Huawei Enjoy 9e,Huawei,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,3GB RAM,"2019, March",150 g (5.29 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM",About 120 EUR
Huawei Enjoy 9s,Huawei,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Po,4/6GB RAM,"2019, March",160 g (5.64 oz),1080p@30/60fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM",About 130 EUR
Huawei Y Max,Huawei,Android 8.1,"7.12""",1080x2244 pixels,5000,Li-Po,4GB RAM,"2018, November",210 g (7.41 oz),1080p@30fps,128GB 4GB RAM,About 180 EUR
Huawei Y6 Pro (2019),Huawei,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Ion,3GB RAM,"2019, February",150 g (5.29 oz),1080p@30fps,32GB 3GB RAM,About 200 EUR
Huawei Y6 (2019),Huawei,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Ion,2GB RAM,"2019, March 02",150 g (5.29 oz),1080p@30fps,32GB 2GB RAM,About 200 EUR
Huawei Y7 (2019),Huawei,Android 8.1,"6.26""",720x1520 pixels,4000,Li-Ion,3/4GB RAM,"2019, March 07",168 g (5.93 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 100 EUR
Huawei Y7 Prime (2019),Huawei,Android 8.1,"6.26""",720x1520 pixels,4000,Li-Ion,3GB RAM,"2019, January 01",168 g (5.93 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM",About 400 EUR
Huawei Y7 Pro (2019),Huawei,Android 8.1,"6.26""",720x1520 pixels,4000,Li-Ion,3/4GB RAM,"2019, January",168 g (5.93 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 200 EUR
Huawei Y5 lite (2018),Huawei,Android 8.1 Oreo,"5.45""",720x1440 pixels,3020,Li-Ion,1GB RAM,"2018, December",142 g (5.01 oz),1080p@30fps,16GB 1GB RAM,About 130 EUR
Huawei nova 4,Huawei,Android 9.0,"6.4""",1080x2310 pixels,3750,Li-Po,6/8GB RAM,"2018, December",172 g (6.07 oz),"4K@30fps, 1080p@30fps, (gyro-EIS)","128GB 6GB RAM, 128GB 8GB RAM",About 1200 EUR
Huawei P smart 2019,Huawei,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Ion,3GB RAM,"2018, December 28",160 g (5.64 oz),1080p@30/60fps,"32GB 3GB RAM, 64GB 3GB RAM",About 580 EUR
Huawei Enjoy 9,Huawei,Android 8.1,"6.26""",720x1520 pixels,4000,Li-Po,3/4GB RAM,"2018, December",168 g (5.93 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 800 EUR
Huawei Mate 20 RS Porsche Design,Huawei,Android 9.0,"6.39""",1440x3120 pixels,4200,Li-Po,8GB RAM,"2018, October",187 g (6.60 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","256GB 8GB RAM, 512GB 8GB RAM",About 460 EUR
Huawei Mate 20 X,Huawei,Android 9.0,"7.2""",1080x2244 pixels,5000,Li-Po,6/8GB RAM,"2018, October",232 g (8.18 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","128GB 6GB RAM, 256GB 8GB RAM",About 180 EUR
Huawei Mate 20 Pro,Huawei,Android 9.0,"6.39""",1440x3120 pixels,4200,Li-Po,6/8GB RAM,"2018, October 16",189 g (6.67 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 230 EUR
Huawei Mate 20,Huawei,Android 9.0,"6.53""",1080x2244 pixels,4000,Li-Po,4/6GB RAM,"2018, October",188 g (6.63 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 260 EUR
Huawei Y9 (2019),Huawei,Android 8.1,"6.5""",1080x2340 pixels,4000,Li-Ion,3-6GB RAM,"2018, October 01",173 g (6.10 oz),1080p@30fps,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 220 EUR
Huawei Mate 20 lite,Huawei,Android 8.1,"6.3""",1080x2340 pixels,3750,Li-Ion,4/6GB RAM,"2018, August",172 g (6.07 oz),1080p@30/60fps,"64GB 4GB RAM, 64GB 6GB RAM",About 350 EUR
Huawei P Smart+ 2019,Huawei,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Ion,3/6GB RAM,"2018, July",160 g (5.64 oz),1080p@30/60fps,"64GB 3GB RAM, 128GB 6GB RAM",About 100 EUR
Huawei nova 3i,Huawei,Android 8.1,"6.3""",1080x2340 pixels,3340,Li-Ion,4/6GB RAM,"2018, July 18",169 g (5.96 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 90 EUR
Huawei nova 3,Huawei,Android 8.1,"6.3""",1080x2340 pixels,3750,Li-Po,4/6GB RAM,"2018, July",166 g (5.86 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS)","64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 140 EUR
Huawei Y5 Prime (2018),Huawei,Android 8.1,"5.45""",720x1440 pixels,3020,Li-Ion,1/2GB RAM,"2018, May",142 g (5.01 oz),1080p@30fps,"16GB 1GB RAM, 16GB 2GB RAM, 32GB 2GB RAM",About 150 EUR
Huawei Y3 (2018),Huawei,Android 8.0 Oreo,"5.0""",480x854 pixels,2280,Li-Ion,1GB RAM,"2018, May",175 g (6.17 oz),720p@30fps,8GB 1GB RAM,About 1300 EUR
Huawei Y6 Prime (2018),Huawei,Android 8.0,"5.7""",720x1440 pixels,3000,Li-Ion,2/3GB RAM,"2018, April",150 g (5.29 oz),1080p@30fps,"16GB 2GB RAM, 32GB 3GB RAM",About 410 EUR
Huawei Y6 (2018),Huawei,Android 8.0,"5.7""",720x1440 pixels,3000,Li-Ion,2/3GB RAM,"2018, April",150 g (5.29 oz),1080p@30fps,"16GB 2GB RAM, 16GB 3GB RAM",About 330 EUR
Huawei Mate RS Porsche Design,Huawei,Android 8.1,"6.0""",1440x2880 pixels,4000,Li-Po,6GB RAM,"2018, March",183 g (6.46 oz),"4K@30fps, 1080p, 720p@960fps","256GB 6GB RAM, 512GB 6GB RAM",About 240 EUR
Huawei P20 Pro,Huawei,Android 8.1,"6.1""",1080x2240 pixels,4000,Li-Po,6/8GB RAM,"2018, March 27",180 g (6.35 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",About 150 EUR
