phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
vivo iQOO 9T,Vivo,Android 12,"6.78""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, August 02",206 g (7.27 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM",About 870 EUR
vivo Y30 5G,Vivo,Android 12,"6.51""",720x1600 pixels,5000,Li-Po,6GB RAM,"2022, July 25",193 g (6.81 oz),1080p@30fps,128GB 6GB RAM,About 580 EUR
vivo T1x (India),Vivo,Android,"6.58""",1080x2408 pixels,5000,Li-Po,4/6GB RAM,"2022, July 20",182 g (6.42 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 300 EUR
vivo iQOO 10 Pro,Vivo,Android 12,"6.78""",1440x3200 pixels,4700,Li-Po,8/12GB RAM,"2022, July 19",215.4 g or 216.2 g (7.58 oz),"8K@30fps, 4K@24/30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 190 EUR
vivo iQOO 10,Vivo,Android 12,"6.78""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, July 19",206 g (7.27 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 360 EUR
vivo Y77 (China),Vivo,Android 12,"6.64""",1080x2388 pixels,4500,Li-Po,6-12GB RAM,"2022, July 08",194 g (6.84 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 220 EUR
vivo Y77,Vivo,Android 12,"6.58""",1080x2408 pixels,5000,Li-Po,8GB RAM,"2022, July 04",194 g (6.84 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 200 EUR
vivo iQOO Neo 6,Vivo,Android 12,"6.62""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, May 31",190 g (6.70 oz),"4K@30/60fps, 1080p@30/60fps","128GB 8GB RAM, 256GB 12GB RAM","₹ 19,300"
vivo T2x,Vivo,Android 12,"6.58""",1080x2408 pixels,6000,Li-Po,6/8GB RAM,"2022, May 30",202.8 g (7.16 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 480 EUR
vivo Y72t,Vivo,Android 11,"6.58""",1080x2408 pixels,6000,Li-Po,8GB RAM,"2022, May 23",199.8 g (7.05 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 380 EUR
vivo Y75,Vivo,Android 12,"6.44""",1080x2400 pixels,4050,Li-Po,8GB RAM,"2022, May 21",172 g (6.07 oz),"1080p@30fps, gyro-EIS",128GB 8GB RAM,About 290 EUR
vivo S15 Pro,Vivo,Android 12,"6.56""",1080x2376 pixels,4500,Li-Po,8/12GB RAM,"2022, May 19",188 g (6.63 oz),"4K@30fps, 1080p@30fps","256GB 8GB RAM, 256GB 12GB RAM",About 300 EUR
vivo S15,Vivo,Android 12,"6.62""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2022, May 19",197 g (6.95 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 190 EUR
vivo iQOO Neo6 SE,Vivo,Android 12,"6.62""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, May 06",190 g (6.70 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 300 EUR
vivo T1 Pro,Vivo,Android 12,"6.44""",1080x2404 pixels,4700,Li-Po,6/8GB RAM,"2022, May 04",180.3 g (6.35 oz),"1080p@30fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 250 EUR
vivo T1 (Snapdragon 680),Vivo,Android 12,"6.44""",1080x2400 pixels,5000,Li-Po,4-8GB RAM,"2022, May 04",182 g (6.42 oz),"1080p@30fps, gyro-EIS","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 180 EUR
vivo iQOO Z6 Pro,Vivo,Android 12,"6.44""",1080x2404 pixels,4700,Li-Po,6-12GB RAM,"2022, April 27",180 g (6.35 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",About 850 EUR
vivo Y55,Vivo,Android 12,"6.44""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2022, July 02",182 g (6.42 oz),"1080p@30fps, gyro-EIS",128GB 8GB RAM,$ 559.99
vivo iQOO Z6 44W,Vivo,Android 12,"6.44""",1080x2400 pixels,5000,Li-Po,4-8GB RAM,"2022, April 27",182 g (6.42 oz),"1080p@30fps, gyro-EIS","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 300 EUR
vivo X80 Pro,Vivo,Android 12,"6.78""",1440x3200 pixels,4700,Li-Po,8/12GB RAM,"2022, April 25",215 g / 219 g (7.58 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 150 EUR
vivo X80,Vivo,Android 12,"6.78""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2022, April 25",203 g / 206 g (7.16 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 300 EUR
vivo T1 (Snapdragon 778G),Vivo,Android 12,"6.44""",1080x2404 pixels,4700,Li-Po,8GB RAM,"2022, April 26",180.3 g (6.35 oz),"1080p@30fps, gyro-EIS",128GB 8GB RAM,About 400 EUR
vivo T1x 4G,Vivo,Android,"6.58""",1080x2408 pixels,5000,Li-Po,4/8GB RAM,"2022, April 26",182 g (6.42 oz),1080p@30fps,"64GB 4GB RAM, 128GB 8GB RAM",About 870 EUR
vivo S15e,Vivo,Android 11,"6.44""",1080x2404 pixels,4700,Li-Po,8/12GB RAM,"2022, April 25",190 g (6.70 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 1300 EUR
vivo iQOO Neo6 (China),Vivo,Android 12,"6.62""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, April 13",194 / 197.2 g (6.84 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 170 EUR
vivo X Note,Vivo,Android 12,"7.0""",1440x3080 pixels,5000,Li-Po,8/12GB RAM,"2022, April 11",216 / 221 g (7.62 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 140 EUR
vivo X Fold,Vivo,Android 12,"8.03""",1916x2160 pixels,4600,Li-Po,12GB RAM,"2022, April 11",311 g (10.97 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 12GB RAM, 512GB 12GB RAM",About 190 EUR
vivo Y21G,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4GB RAM,"2022, April 07",182 g (6.42 oz),1080p@30fps,64GB 4GB RAM,About 150 EUR
vivo iQOO U5x,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4/8GB RAM,"2022, March 28",179 g (6.31 oz),1080p@30fps,"128GB 4GB RAM, 128GB 8GB RAM",About 180 EUR
vivo iQOO Z6,Vivo,Android 12,"6.58""",1080x2408 pixels,5000,Li-Po,4-8GB RAM,"2022, March 16",185 g (6.53 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 510 EUR
vivo Y01,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,2/3GB RAM,"2022, March 09",178 g (6.28 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM",About 400 EUR
vivo Y33s 5G,Vivo,Android 12,"6.51""",720x1600 pixels,5000,Li-Po,4-8GB RAM,"2022, March 01",185 g (6.53 oz),"1080p@30fps, gyro-EIS","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 630 EUR
vivo iQOO 9,Vivo,Android 12,"6.56""",1080x2376 pixels,4350,Li-Po,8/12GB RAM,"2022, February 23",200 g / 202 g (7.05 oz),"4K@24/30/60fps, 1080p@30/60fps","128GB 8GB RAM, 256GB 12GB RAM",About 180 EUR
vivo iQOO 9 SE,Vivo,Android 12,"6.62""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2022, February 23",199 g (7.02 oz),"4K@24/30/60fps, 1080p@30/60fps","128GB 8GB RAM, 256GB 12GB RAM",About 270 EUR
vivo iQOO 9 Pro,Vivo,Android 12,"6.78""",1440x3200 pixels,4700,Li-Po,8/12GB RAM,"2022, January 05",204 g or 210 g (7.20 oz),"8K@30fps, 4K@24/30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 260 EUR
vivo T1 5G,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,4-8GB RAM,"2022, February 09",187 g (6.60 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 250 EUR
vivo Y33,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,4GB RAM,"2021, October 04",191 g (6.74 oz),"1080p@30fps, gyro-EIS",128GB 4GB RAM,About 560 EUR
vivo Y75 5G,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,8GB RAM,"2022, January 27",187 g (6.60 oz),"1080p@30fps, gyro-EIS",128GB 8GB RAM,"₹ 32,785"
