phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Honor 30 Pro+,Honor,Android 10,"6.57""",1080x2340 pixels,4000,Li-Po,8/12GB RAM,"2020, April 15",190 g (6.70 oz),"4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM",About 650 EUR
Honor 30 Pro,Honor,Android 10,"6.57""",1080x2340 pixels,4000,Li-Po,8GB RAM,"2020, April 15",186 g (6.56 oz),"4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 670 EUR
Honor 30,Honor,Android 10,"6.53""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, April 15",185 g (6.53 oz),"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 1170 EUR
Honor 20e,Honor,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Po,6GB RAM,"2020, April 16",164 g (5.78 oz),1080p@30/60fps,64GB 4GB RAM,About 180 EUR
Honor Play 4T Pro,Honor,Android 10,"6.3""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, April 09",165 g (5.82 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 128GB 8GB RAM",About 200 EUR
Honor Play 4T,Honor,Android 10,"6.39""",720x1560 pixels,4000,Li-Po,6GB RAM,"2020, April 09",176 g (6.21 oz),1080p@30fps,128GB 6GB RAM,About 160 EUR
Honor 8A 2020,Honor,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,3GB RAM,"2020, April 10",150 g (5.29 oz),1080p@30fps,64GB 3GB RAM,About 150 EUR
Honor 8A Prime,Honor,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,3GB RAM,"2020, March 30",150 g (5.29 oz),1080p@30fps,64GB 3GB RAM,About 110 EUR
Honor 30S,Honor,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, March 30",190 g (6.70 oz),"4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 310 EUR
Honor Play 9A,Honor,Android 10,"6.3""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, March 30",185 g (6.53 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 120 EUR
Honor V30 Pro,Honor,Android 10,"6.57""",1080x2400 pixels,4100,Li-Po,8GB RAM,"2019, November",206 g (7.27 oz),"4K@30fps, 1080p@30fps, 720p@960fps, (gyro-EIS)","128GB 8GB RAM, 256GB 8GB RAM",About 500 EUR
Honor V30,Honor,Android 10,"6.57""",1080x2400 pixels,4200,Li-Po,6/8GB RAM,"2019, November",213 g (7.51 oz),"4K@30fps, 1080p@30fps, 720p@960fps, (gyro-EIS)","128GB 6GB RAM, 128GB 8GB RAM",About 430 EUR
Honor 9X,Honor,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,4/6GB RAM,"2019, October 28",196.8 g (6.95 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 240 EUR
Honor 20 lite (China),Honor,Android 9.0,"6.3""",1080x2400 pixels,4000,Li-Po,4-8GB RAM,"2019, October",171.5 g (6.07 oz),1080p@30fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 220 EUR
Honor Play 3e,Honor,Android 9.0,"5.71""",720x1520 pixels,3020,Li-Po,2/3GB RAM,"2019, September",146 g (5.15 oz),1080p@30fps,"32GB 2GB RAM, 64GB 3GB RAM",About 90 EUR
Honor Play 3,Honor,Android 9.0,"6.39""",720x1560 pixels,4000,Li-Po,4/6GB RAM,"2019, September",176 g (6.21 oz),1080p@30fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM",About 130 EUR
Honor 20S,Honor,Android 9.0,"6.26""",1080x2340 pixels,3750,Li-Po,6/8GB RAM,"2019, September",172 g (6.07 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",About 250 EUR
