phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Realme X50 5G,Realme,Android 10,"6.57""",1080x2400 pixels,4200,Li-Po,6/8GB RAM,"2020, July 08",194 g (6.84 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 500 EUR
Realme C11,Realme,Android 10,"6.5""",720x1560 pixels,5000,Li-Po,2/3GB RAM,"2020, June 30",196 g (6.91 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM","€ 126.99 / $ 102.78 / ₹ 6,499"
Realme X3,Realme,Android 10,"6.6""",1080x2400 pixels,4200,Li-Po,6/8GB RAM,"2020, June 25",202 g (7.13 oz),"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 290 EUR
Realme C3i,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,2GB RAM,"2020, June 24",195 g (6.88 oz),"1080p@30fps, 720p@120fps",32GB 2GB RAM,About 100 EUR
Realme Narzo,Realme,Android 10,"6.5""",1080x2400 pixels,4300,Li-Po,4GB RAM,"2020, June 23",191 g (6.74 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS",128GB 4GB RAM,About 190 EUR
Realme X3 SuperZoom,Realme,Android 10,"6.6""",1080x2400 pixels,4200,Li-Po,8/12GB RAM,"2020, May 26",202 g (7.13 oz),"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 300 EUR
Realme 6S,Realme,Android 11,"6.5""",1080x2400 pixels,4300,Li-Po,4/6GB RAM,"2020, May 26",191 g (6.74 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 4GB RAM, 128GB 6GB RAM",About 200 EUR
Realme X50 Pro Player,Realme,Android 10,"6.44""",1080x2400 pixels,4200,Li-Po,6-12GB RAM,"2020, May 25",209 g (7.37 oz),"4K@30/60fps, 1080p@30/60/240/960fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 128GB 12GB RAM",About 350 EUR
Realme Narzo 10,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, May 11",199 g (7.02 oz),"1080p@30fps, gyro-EIS",128GB 4GB RAM,About 150 EUR
Realme Narzo 10A,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2020, May 11",195 g (6.88 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 100 EUR
Realme X50m 5G,Realme,Android 10,"6.57""",1080x2400 pixels,4200,Li-Po,6/8GB RAM,"2020, April 23",194 g (6.84 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 260 EUR
Realme 6i,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2020, March 17",199 g (7.02 oz),"1080p@30fps, gyro-EIS","64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 400 EUR
Realme 6 Pro,Realme,Android 10,"6.6""",1080x2400 pixels,4300,Li-Po,6/8GB RAM,"2020, March 05",202 g (7.13 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",$ 179.99
